tt0000417	8.2	39839
tt0000439	7.3	15587
tt0004972	6.4	20815
tt0006864	7.8	13076
tt0010323	8.1	51283
tt0012349	8.3	101002
tt0013257	7.7	10612
tt0013442	7.9	82368
tt0014429	8.1	16734
tt0015064	8.1	11304
tt0015324	8.2	34829
tt0015648	8.0	49027
tt0015864	8.2	91560
tt0016220	7.6	15386
tt0016847	8.1	12944
tt0017136	8.3	147743
tt0017925	8.1	73408
tt0018455	8.1	44149
tt0018578	7.5	10359
tt0018773	8.2	23499
tt0019254	8.2	41992
tt0019421	7.9	11950
tt0019760	8.4	20273
tt0020530	7.7	42825
tt0020629	8.0	54151
tt0020640	7.6	12431
tt0020697	7.7	12671
tt0021079	7.3	10989
tt0021577	7.3	11715
tt0021749	8.5	151932
tt0021814	7.5	42298
tt0021884	7.8	59921
tt0022100	8.3	131466
tt0022158	7.5	10615
tt0022286	7.7	16371
tt0022835	7.6	11645
tt0022913	7.9	39168
tt0022958	7.4	16005
tt0023027	7.6	11041
tt0023042	8.2	10755
tt0023245	7.1	21268
tt0023427	7.8	23343
tt0023563	8.0	10497
tt0023622	8.0	11922
tt0023649	7.6	14231
tt0023969	7.8	52928
tt0024184	7.7	26854
tt0024216	7.9	74755
tt0024844	7.8	13268
tt0025316	8.1	86442
tt0025452	6.8	15569
tt0025878	8.0	24567
tt0025913	7.3	13984
tt0026029	7.7	47644
tt0026138	7.8	40020
tt0026174	7.7	12029
tt0026752	7.7	19293
tt0026778	7.9	28954
tt0027125	7.8	16018
tt0027652	7.9	10421
tt0027977	8.5	196826
tt0027996	7.9	18435
tt0028010	8.0	19138
tt0028096	7.6	11465
tt0028212	7.1	13472
tt0028333	7.6	11311
tt0028597	7.7	16495
tt0028772	7.6	12273
tt0028950	8.1	31519
tt0029162	7.7	11334
tt0029583	7.6	168070
tt0029843	7.9	44572
tt0029870	7.9	18623
tt0029947	7.9	51771
tt0030241	7.8	13119
tt0030287	7.5	10920
tt0030341	7.8	43589
tt0030993	7.9	21552
tt0031381	8.1	268851
tt0031398	7.4	10314
tt0031679	8.1	99898
tt0031725	7.9	17568
tt0031762	7.7	11298
tt0031867	8.0	11619
tt0031885	8.1	24709
tt0031971	7.9	39149
tt0032138	8.0	356728
tt0032143	7.8	11752
tt0032145	7.6	15149
tt0032455	7.8	83019
tt0032484	7.5	16830
tt0032551	8.0	82079
tt0032553	8.5	185821
tt0032599	7.9	49384
tt0032701	7.6	10603
tt0032904	7.9	59442
tt0032910	7.4	119516
tt0032976	8.1	113032
tt0033045	8.1	24870
tt0033152	7.5	10979
tt0033467	8.3	370585
tt0033563	7.2	110776
tt0033717	7.5	13901
tt0033729	7.7	19541
tt0033804	7.8	17627
tt0033870	8.0	142407
tt0033891	7.7	11161
tt0034167	7.7	14313
tt0034240	8.0	22171
tt0034248	7.4	29628
tt0034398	7.3	21522
tt0034492	7.3	121146
tt0034583	8.5	486045
tt0034587	7.3	17945
tt0034862	7.5	11877
tt0035015	7.7	20633
tt0035093	7.6	14543
tt0035140	8.0	13755
tt0035279	7.2	21466
tt0035423	6.4	75104
tt0035446	8.3	23829
tt0035575	7.7	13119
tt0036027	7.1	10024
tt0036112	8.1	12026
tt0036244	8.0	19417
tt0036342	7.9	54941
tt0036613	8.0	62249
tt0036775	8.3	131486
tt0036855	7.8	21685
tt0036868	8.0	54066
tt0037008	8.0	39271
tt0037017	7.7	24728
tt0037059	7.6	18577
tt0037101	7.6	11054
tt0037382	7.9	28599
tt0037469	7.7	12352
tt0037515	7.5	11550
tt0037558	8.0	32505
tt0037638	7.4	13203
tt0037674	8.4	17040
tt0037884	7.9	31126
tt0037913	8.0	20738
tt0037988	7.5	10855
tt0038057	7.8	12843
tt0038109	7.6	40014
tt0038166	6.5	10803
tt0038348	7.9	22678
tt0038355	7.9	74652
tt0038559	7.7	25443
tt0038574	7.8	20609
tt0038650	8.6	365186
tt0038669	7.8	17480
tt0038733	8.1	17620
tt0038762	7.8	19805
tt0038787	7.9	86468
tt0038854	7.5	17123
tt0038890	8.1	20958
tt0038969	7.1	10307
tt0038991	7.4	20152
tt0039190	7.6	12731
tt0039192	7.9	19626
tt0039302	7.6	16314
tt0039416	7.2	13654
tt0039420	7.9	14464
tt0039628	7.9	37225
tt0039631	7.9	14424
tt0039689	8.0	29688
tt0040068	7.5	13432
tt0040369	7.5	15193
tt0040416	7.7	14134
tt0040506	7.8	34641
tt0040522	8.3	131519
tt0040525	7.6	23993
tt0040536	8.0	10161
tt0040636	7.6	10976
tt0040662	7.8	10446
tt0040724	7.8	25971
tt0040725	8.2	25738
tt0040746	8.0	117694
tt0040897	8.2	105666
tt0041090	7.5	18165
tt0041094	7.0	11134
tt0041113	7.5	12187
tt0041154	8.3	12486
tt0041452	8.2	12186
tt0041546	8.0	32415
tt0041699	7.9	13545
tt0041716	7.4	14835
tt0041866	7.3	14543
tt0041959	8.1	148156
tt0041996	7.7	11580
tt0042041	8.2	25421
tt0042192	8.2	111742
tt0042208	7.9	22151
tt0042332	7.3	134624
tt0042530	7.6	10381
tt0042546	7.9	50612
tt0042593	8.0	23044
tt0042788	8.0	10834
tt0042804	8.3	16501
tt0042876	8.2	138896
tt0042895	7.2	12946
tt0042994	7.1	11580
tt0043014	8.4	183981
tt0043137	7.7	15405
tt0043208	8.4	20907
tt0043265	7.8	67484
tt0043274	7.4	119036
tt0043278	7.2	27900
tt0043338	8.2	25568
tt0043456	7.7	73170
tt0043686	8.1	10165
tt0043924	7.8	18477
tt0043949	7.2	12503
tt0044008	8.1	18228
tt0044079	8.0	116114
tt0044081	8.0	93019
tt0044121	7.2	23502
tt0044391	7.8	11902
tt0044672	6.6	11848
tt0044706	7.9	91798
tt0044741	8.3	60306
tt0044829	7.6	11650
tt0044837	8.1	16485
tt0044916	7.0	12048
tt0045061	7.8	32348
tt0045152	8.3	201846
tt0045274	8.2	20654
tt0045555	8.0	21274
tt0045793	7.6	40051
tt0045810	7.2	28664
tt0045888	7.1	14860
tt0045891	6.9	19140
tt0045897	7.3	17584
tt0046126	7.0	13646
tt0046183	7.3	115533
tt0046187	7.7	11678
tt0046250	8.0	119305
tt0046268	8.1	49462
tt0046303	7.6	34114
tt0046345	7.6	11196
tt0046359	8.0	48636
tt0046438	8.2	45373
tt0046478	8.3	18445
tt0046487	7.5	15384
tt0046521	7.9	13280
tt0046534	7.1	30243
tt0046672	7.2	26515
tt0046816	7.7	23057
tt0046876	7.0	23585
tt0046911	8.0	57859
tt0046912	8.2	143716
tt0047034	7.6	26230
tt0047136	7.7	14202
tt0047296	8.1	131220
tt0047396	8.5	408698
tt0047437	7.7	54625
tt0047445	8.4	12897
tt0047472	7.4	19805
tt0047478	8.6	290976
tt0047522	7.6	14398
tt0047528	8.0	53952
tt0047573	7.2	18376
tt0047673	7.6	28653
tt0047677	6.8	13614
tt0047708	8.5	13452
tt0047811	7.6	12087
tt0047834	7.2	13760
tt0047849	7.7	17710
tt0048021	8.2	23436
tt0048028	7.9	37562
tt0048140	7.2	14356
tt0048254	6.7	19475
tt0048261	7.6	17069
tt0048280	7.3	112069
tt0048281	7.7	24505
tt0048356	7.7	19647
tt0048380	7.7	14491
tt0048424	8.0	76492
