tt0019254	2	nm0798564	actor	\N	["Évêque Pierre Cauchon (Bishop Pierre Cauchon)"]
tt0019254	3	nm0075551	actor	\N	["Jean d'Estivet"]
tt0019254	4	nm0776914	actor	\N	["Nicolas Loyseleur"]
tt0019421	1	nm0000036	actor	\N	["William Canfield Jr."]
tt0019421	2	nm0570297	actor	\N	["J.J. King"]
tt0019421	3	nm0868458	actor	\N	["William 'Steamboat Bill' Canfield"]
tt0019421	4	nm0507827	actor	\N	["Tom Carter - First and Last Mate"]
tt0019760	1	nm0442227	actor	\N	["The Cameraman"]
tt0020629	1	nm0000817	actor	\N	["Paul"]
tt0020629	2	nm0938464	actor	\N	["Kat"]
tt0020629	3	nm0942046	actor	\N	["Himmelstoss"]
tt0020629	4	nm0524803	actor	\N	["Kantorek"]
tt0020640	1	nm0000050	actor	\N	["Captain Jeffrey Spaulding"]
tt0020640	2	nm0555617	actor	\N	["The Professor"]
tt0020640	3	nm0555597	actor	\N	["Signor Emanuel Ravelli"]
tt0020640	4	nm2580347	actor	\N	\N
tt0020697	1	nm0417837	actor	\N	["Professor Immanuel Rath"]
tt0020697	2	nm0000017	actress	\N	["Lola Lola"]
tt0020697	3	nm0314777	actor	\N	["Kiepert, the Magician"]
tt0020697	4	nm0884665	actress	\N	["Guste, His Wife"]
tt0021079	1	nm0000064	actor	\N	["Little Caesar - Alias 'Rico'"]
tt0021079	2	nm0001195	actor	\N	["Joe Massara"]
tt0021079	3	nm0268225	actress	\N	["Olga Stassoff"]
tt0021079	4	nm0171873	actor	\N	["Tony Passa"]
tt0021577	1	nm0595321	actor	\N	["The Man"]
tt0021577	2	nm0529227	actress	\N	["The Woman"]
tt0021577	3	nm0479475	actress	\N	["Marquise' Chambermaid","Girl at Blangis' Castle"]
tt0021577	4	nm0259722	actor	\N	["Bandit Leader in the Hut"]
tt0021749	1	nm0000122	actor	\N	["A Tramp"]
tt0021749	2	nm0156039	actress	\N	["A Blind Girl"]
tt0021749	3	nm5681967	actress	\N	["The Blind Girl's Grandmother"]
tt0021749	4	nm0616729	actor	\N	["An Eccentric Millionaire"]
tt0021814	1	nm0000509	actor	\N	["Count Dracula"]
tt0021814	2	nm0151377	actress	\N	["Mina"]
tt0021814	3	nm0543115	actor	\N	["John Harker"]
tt0021814	4	nm0296859	actor	\N	["Renfield"]
tt0021884	1	nm0166972	actor	\N	["Henry Frankenstein"]
tt0021884	2	nm0164883	actress	\N	["Elizabeth"]
tt0021884	3	nm0000472	actor	\N	["The Monster"]
tt0021884	4	nm0092900	actor	\N	["Victor Moritz"]
tt0022100	1	nm0000048	actor	\N	["Hans Beckert"]
tt0022100	2	nm0927145	actress	\N	["Frau Beckmann"]
tt0022100	3	nm0484737	actress	\N	["Elsie Beckmann"]
tt0022100	4	nm0921532	actor	\N	["Inspector Karl Lohmann"]
tt0022158	1	nm0000050	actor	\N	["Groucho"]
tt0022158	2	nm0555617	actor	\N	["Harpo"]
tt0022158	3	nm2580347	actor	\N	["The Four Stowaways"]
tt0022158	4	nm0555597	actor	\N	["Chico"]
tt0022286	1	nm0000010	actor	\N	["Tom Powers"]
tt0022286	2	nm0001318	actress	\N	["Gwen Allen"]
tt0022286	3	nm0940589	actor	\N	["Matt Doyle"]
tt0022286	4	nm0000951	actress	\N	["Mamie"]
tt0022835	10	nm0387561	actor	\N	["Brig. Gen. Danvers Carew"]
tt0022835	1	nm0545298	actor	\N	["Dr. Henry Jekyll","Mr. Edward Hyde"]
tt0022835	2	nm0394244	actress	\N	["Ivy Pearson"]
tt0022835	3	nm0387556	actress	\N	["Muriel Carew"]
tt0022835	4	nm0378555	actor	\N	["Dr. John Lanyon"]
tt0022913	1	nm0285922	actor	\N	["Phroso"]
tt0022913	2	nm0404885	actress	\N	["Venus"]
tt0022913	3	nm0045754	actress	\N	["Cleopatra"]
tt0022913	4	nm0040374	actor	\N	["Roscoe"]
tt0022958	1	nm0001256	actress	\N	["Grusinskaya"]
tt0022958	2	nm0000858	actor	\N	["Baron Felix von Geigern"]
tt0022958	3	nm0001076	actress	\N	["Flaemmchen"]
tt0022958	4	nm0000891	actor	\N	["General Director Preysing"]
tt0023027	1	nm0000050	actor	\N	["Professor Quincy Adams Wagstaff"]
tt0023027	2	nm0555597	actor	\N	["Baravelli"]
tt0023027	3	nm0555617	actor	\N	["Pinky"]
tt0023027	4	nm2580347	actor	\N	\N
tt0023042	1	nm0612847	actor	\N	["James Allen"]
tt0023042	2	nm0268225	actress	\N	["Marie Woods"]
tt0023042	3	nm0899091	actress	\N	["Helen"]
tt0023042	4	nm0290271	actress	\N	["Linda"]
tt0023245	1	nm0000472	actor	\N	["Imhotep"]
tt0023245	2	nm0423685	actress	\N	["Helen Grosvenor"]
tt0023245	3	nm0543115	actor	\N	["Frank Whemple"]
tt0023245	4	nm0126365	actor	\N	["Sir Joseph Whemple"]
tt0023427	1	nm0612847	actor	\N	["Tony Camonte"]
tt0023427	2	nm0245304	actress	\N	["Cesca Camonte"]
tt0023427	3	nm0605904	actress	\N	["Poppy"]
tt0023427	4	nm0674019	actor	\N	["Johnny Lovo"]
tt0023563	1	nm0459030	actor	\N	["Dr. Mabuse"]
tt0023563	2	nm0921532	actor	\N	["Inspector Karl Lohmann"]
tt0023563	3	nm0226158	actor	\N	["Thomas Kent"]
tt0023563	4	nm0771869	actor	\N	["Hardy"]
tt0023622	1	nm0394244	actress	\N	["Lily"]
tt0023622	2	nm0290215	actress	\N	["Madame Mariette Colet"]
tt0023622	3	nm0003339	actor	\N	["Gaston Monescu"]
tt0023622	4	nm0749476	actor	\N	["The Major"]
