tt0034587	nm0869664	nm0090840
tt0034862	nm0762263	nm0083125,nm0723418,nm0000927,nm0391750,nm0492635,nm0616893,nm0841702
tt0035015	nm0000080,nm0281381,nm0936404	nm0850483,nm0000080,nm0001072,nm0608986
tt0035093	nm0943758	nm0934497,nm0296207,nm0385264,nm0921995,nm0835369,nm0651585,nm0792670,nm0928295
tt0035140	nm0710924	nm0732452,nm0698989
tt0035279	nm0000033	nm0896830,nm0365661,nm0662213,nm0000033
tt0035423	nm0003506	nm0737216,nm0003506
tt0035446	nm0523932	nm0501872,nm0562372,nm0523932
tt0035575	nm0002031	nm0118758,nm0430578,nm0258493,nm0258525
tt0036027	nm0869664	nm0802561,nm0942027,nm0908681,nm0111576
tt0036112	nm0003836,nm0696247	nm0003836,nm0696247
tt0036244	nm0920074	nm0873707,nm0888099
tt0036342	nm0000033	nm0928642,nm0072639,nm0720904,nm0568060
tt0036613	nm0001008	nm0258493,nm0258525,nm0450279
tt0036775	nm0000697	nm0000697,nm0151452,nm0128906
tt0036855	nm0002030	nm0886668,nm0281556,nm0049721,nm0358096
tt0036868	nm0943758	nm0792845,nm0437969
tt0037008	nm0695937	nm0143837,nm0237225,nm0388755,nm0718101,nm0488057
tt0037017	nm0000033	nm0825705,nm0842485,nm0000033,nm0372942
tt0037059	nm0591486	nm0106505,nm0277943,nm0072639,nm0373511,nm0525067,nm0556945,nm4251617
tt0037101	nm0229424	nm0668122,nm0151452
tt0037382	nm0001328	nm0002133,nm0299154,nm0001203,nm0010850,nm0150462
tt0037469	nm0000485	nm0425913,nm0909260
tt0037515	nm0163229	nm0002005,nm0629580
tt0037558	nm0000180	nm0002021,nm0369743,nm0000180,nm0623768
tt0037638	nm0880618	nm0326107,nm0600755
tt0037674	nm0138893	nm0699535
tt0037884	nm0000697	nm0413352,nm0102818,nm0000697
tt0037913	nm0002031	nm0532030,nm0128906,nm0001203,nm0344391,nm0540816,nm0682787,nm0877957,nm0928603,nm0932163
tt0037988	nm0506797	nm0506797,nm0928492
tt0038057	nm0000485	nm0478579,nm0610207,nm0629580
tt0038109	nm0000033	nm0372942,nm4465001,nm0534191,nm0739676,nm0761573
tt0038166	nm0272568,nm0314671,nm0455741,nm0730860,nm0949597	nm0109205,nm0855804,nm0780799,nm0670328,nm0942723,nm0687624,nm0931614,nm0183183,nm0174974,nm0091069,nm0335469,nm0400056,nm0810324
tt0038348	nm0168413,nm0167496	nm0168413,nm0207305
tt0038355	nm0001328	nm0001203,nm0102824,nm0299154,nm0151452
tt0038559	nm0896533	nm0254154,nm0252100,nm0663763,nm0372942
tt0038574	nm0000180	nm0002042,nm0000180,nm0623768,nm0369743,nm0909727,nm0569414
tt0038650	nm0001008	nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858
tt0038669	nm0802563	nm0892044,nm0002133,nm0001379,nm0112218
tt0038733	nm0003836,nm0696247	nm0003836,nm0696247
tt0038762	nm0000406	nm0257143,nm0588003,nm0375500,nm0482193
tt0038787	nm0000033	nm0372942,nm0000033,nm0285218,nm0644048
tt0038854	nm0307819	nm0750822,nm0124002,nm0128906
tt0038890	nm0744023	nm0024847,nm0000019,nm0744023,nm0175924
tt0038969	nm0287836,nm0414144	nm0721468,nm0335577,nm0710683,nm0364873,nm0670328,nm0942723,nm0821707
tt0038991	nm0000080	nm0892044,nm0873193,nm0242938,nm0000080,nm0001379
tt0039190	nm0467396	nm0792845,nm0073394,nm0622251,nm0000697,nm0102818
tt0039192	nm0696247,nm0003836	nm0323869,nm0003836,nm0696247
tt0039302	nm0202681	nm0202681,nm0328959
tt0039416	nm0001415	nm0387740,nm0366454,nm0001415
tt0039420	nm0000581	nm0242897,nm0225283
tt0039628	nm0780833	nm0780833,nm0204016
tt0039631	nm0000122	nm0000122,nm0000080
tt0039689	nm0869664	nm0537784,nm0128906,nm0272046
tt0040068	nm0059106	nm0498738,nm0727411,nm0335471,nm0791217,nm0831290
tt0040369	nm0000406	nm0637793,nm0068650
tt0040416	nm0000059	nm0000636,nm0000059
tt0040506	nm0001379	nm0112218,nm0001379,nm0027173
tt0040522	nm0001120	nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291
tt0040525	nm0000080	nm0455271,nm0000080,nm0145336,nm0496468,nm0548529
tt0040536	nm0649097	nm0462321,nm0959003,nm0649097
tt0040636	nm0202088	nm0540816,nm0907013
tt0040662	nm0000180	nm0002042,nm0000180,nm0371552,nm0001907,nm0909727
tt0040724	nm0001328,nm0744504	nm0153698,nm0773660
tt0040725	nm0003836,nm0696247	nm0026153,nm0696247,nm0935773,nm0003836
tt0040746	nm0000033	nm0002025,nm0358096,nm0491306,nm0372942
tt0040897	nm0001379	nm0001379,nm0871252
tt0041090	nm0002030	nm0002106,nm0437717
tt0041094	nm0019282,nm0314671,nm0455741	nm0410331,nm0334370,nm0672093,nm0382548,nm0727370,nm0780799,nm0109205,nm0716206
tt0041113	nm0744035	nm0913014,nm0744035
tt0041154	nm0654868	nm0386426,nm0633792,nm0654868
tt0041452	nm0943758	nm0324537,nm0324499,nm0416556
tt0041546	nm0357607	nm0395170,nm0357607,nm0226538,nm0593867
tt0041699	nm0000041	nm0452878,nm0000041
